expiry,T,strike,type,market_price,bid,ask,iv,volume,oi
2026-08-07,0.019178082191780823,270.0,call,71.65,0.0,0.0,1.0000000000000003e-05,,0.0
2026-08-07,0.019178082191780823,295.0,call,41.74,0.0,0.0,1.0000000000000003e-05,1.0,0.0
2026-08-07,0.019178082191780823,300.0,call,48.77,0.0,0.0,1.0000000000000003e-05,1.0,0.0
2026-08-07,0.019178082191780823,305.0,call,31.65,0.0,0.0,1.0000000000000003e-05,1.0,0.0
2026-08-07,0.019178082191780823,310.0,call,43.95,0.0,0.0,1.0000000000000003e-05,1.0,0.0
2026-08-07,0.019178082191780823,315.0,call,41.66,0.0,0.0,1.0000000000000003e-05,10.0,0.0
2026-08-07,0.019178082191780823,320.0,call,36.71,0.0,0.0,1.0000000000000003e-05,10.0,0.0
2026-08-07,0.019178082191780823,325.0,call,24.43,0.0,0.0,1.0000000000000003e-05,2.0,0.0
2026-08-07,0.019178082191780823,330.0,call,20.03,0.0,0.0,1.0000000000000003e-05,5.0,0.0
2026-08-07,0.019178082191780823,332.5,call,17.3,0.0,0.0,1.0000000000000003e-05,4.0,0.0
2026-08-07,0.019178082191780823,335.0,call,12.0,0.0,0.0,1.0000000000000003e-05,13.0,0.0
2026-08-07,0.019178082191780823,337.5,call,10.89,0.0,0.0,1.0000000000000003e-05,3.0,0.0
2026-08-07,0.019178082191780823,340.0,call,10.67,0.0,0.0,1.0000000000000003e-05,22.0,0.0
2026-08-07,0.019178082191780823,342.5,call,7.46,0.0,0.0,1.0000000000000003e-05,17.0,0.0
2026-08-07,0.019178082191780823,345.0,call,5.9,0.0,0.0,0.00196310546875,67.0,0.0
2026-08-07,0.019178082191780823,347.5,call,4.65,0.0,0.0,0.015634843750000002,39.0,0.0
2026-08-07,0.019178082191780823,350.0,call,3.45,0.0,0.0,0.0312596875,423.0,0.0
2026-08-07,0.019178082191780823,352.5,call,2.62,0.0,0.0,0.0312596875,867.0,0.0
2026-08-07,0.019178082191780823,355.0,call,1.86,0.0,0.0,0.0312596875,393.0,0.0
2026-08-07,0.019178082191780823,357.5,call,1.31,0.0,0.0,0.062509375,912.0,0.0
2026-08-07,0.019178082191780823,360.0,call,0.78,0.0,0.0,0.062509375,441.0,0.0
2026-08-07,0.019178082191780823,362.5,call,0.56,0.0,0.0,0.062509375,157.0,0.0
2026-08-07,0.019178082191780823,365.0,call,0.36,0.0,0.0,0.062509375,120.0,0.0
2026-08-07,0.019178082191780823,367.5,call,0.18,0.0,0.0,0.062509375,47.0,0.0
2026-08-07,0.019178082191780823,370.0,call,0.2,0.0,0.0,0.12500875,335.0,0.0
2026-08-07,0.019178082191780823,375.0,call,0.29,0.0,0.0,0.12500875,20.0,0.0
2026-08-07,0.019178082191780823,380.0,call,0.09,0.0,0.0,0.12500875,36.0,0.0
2026-08-07,0.019178082191780823,385.0,call,0.08,0.0,0.0,0.12500875,2.0,0.0
2026-08-07,0.019178082191780823,390.0,call,0.19,0.0,0.0,0.12500875,2.0,0.0
2026-08-07,0.019178082191780823,395.0,call,0.04,0.0,0.0,0.2500075,1.0,0.0
2026-08-07,0.019178082191780823,400.0,call,0.56,0.0,0.0,0.2500075,2.0,0.0
2026-08-07,0.019178082191780823,405.0,call,1.06,0.0,0.0,0.2500075,3.0,0.0
2026-08-07,0.019178082191780823,170.0,put,0.01,0.0,0.0,0.500005,11.0,0.0
2026-08-07,0.019178082191780823,175.0,put,0.01,0.0,0.0,0.500005,105.0,0.0
2026-08-07,0.019178082191780823,195.0,put,0.01,0.0,0.0,0.500005,62.0,0.0
2026-08-07,0.019178082191780823,200.0,put,0.01,0.0,0.0,0.500005,20.0,0.0
2026-08-07,0.019178082191780823,205.0,put,0.18,0.0,0.0,0.500005,4.0,0.0
2026-08-07,0.019178082191780823,210.0,put,0.16,0.0,0.0,0.500005,1.0,0.0
2026-08-07,0.019178082191780823,215.0,put,0.18,0.0,0.0,0.500005,3.0,0.0
2026-08-07,0.019178082191780823,220.0,put,0.18,0.0,0.0,0.500005,1.0,0.0
