feature,nan_rate,std,min,max,max_abs_corr,correlated_with
vol_21d,0.009116809116809116,0.1579276179191985,0.0,1.353152855394134,0.8098265896636652,vol_63d
vol_63d,0.03304843304843305,0.1396951512796176,0.1083747107863819,0.9177988696519938,0.8098265896636652,vol_21d
vol_5d,0.0,0.18986204446730306,0.0,2.150193270857237,0.7739441551313931,vol_21d
high_low_spread,0.0,0.012160919416099687,0.004143097228031,0.131301249091941,0.7089228702731556,vol_5d
sentiment_score,0.0,0.26743151276437477,0.0,1.0,0.6283050096785475,vol_21d
jpm_vol_ratio,0.018803418803418803,0.3938122595204571,0.0,2.036470185862006,0.553550249877901,vol_5d
rate_momentum_5d_bps,0.0,8.5430831251679,-83.0,57.00000000000001,0.517734038363769,rate_change_1d_bps
rate_change_1d_bps,0.0,3.428505985141614,-23.0,34.00000000000001,0.517734038363769,rate_momentum_5d_bps
vix_change_1d,0.0,1.6890806663523856,-7.80499994754792,18.204999566078197,0.41401328901612017,daily_return
daily_return,0.0,0.018342329706398333,-0.1621057896481723,0.1656203055060559,0.41401328901612017,vix_change_1d
sma_ratio_21,0.008547008547008548,0.04292160936850475,0.7277317912750648,1.188538876624211,0.3996865302603486,high_low_spread
vix_ratio,0.018803418803418803,0.5035209593576324,0.2624611025313625,6.805406084724392,0.39854306556572583,vol_21d
vix_jpm_cross_1d,0.0,0.04397314319845846,-0.1845009048590141,0.8945973963163937,0.3953042074752474,vix_change_1d
volume_change_1d,0.0,0.2847897536997753,-1.2795696707162547,1.4546537778401671,0.20311236982536282,high_low_spread
vix_jpm_corr_21d,0.023931623931623933,0.24543535192186422,-0.9067462831390852,0.3399883893102161,0.20129311480346682,vix_jpm_cross_1d
dps_growth_rate,0.0,12.90118588176685,0.0,42.85714285714285,0.1506579365950629,rate_momentum_5d_bps
