feature,mean_abs_SHAP,rf_importance_w5,rf_rank_w5
sentiment_score,1.6859995,0.3254394391342392,1.0
vol_63d,0.5071682,0.1390916222155929,2.0
vol_21d,0.35709566,0.0363817071892592,7.0
vix_ratio,0.28002647,0.0313318941594264,9.0
dps_growth_rate,0.15264347,0.0339589730201262,8.0
sma_ratio_21,0.061097305,0.1296760187713272,3.0
vix_change_1d,0.057451196,0.0051258754409386,12.0
vol_5d,0.037919022,0.0507966770852382,6.0
vix_jpm_corr_21d,0.024326533,0.0929625631116178,5.0
jpm_vol_ratio,0.010827223,0.0267950248172498,10.0
regime_CALM,0.008667882,,
volume_change_1d,0.007983696,0.002551726624364,15.0
rate_momentum_5d_bps,0.00545007,0.1135914898768065,4.0
regime_BULL,0.004707369,,
vix_jpm_cross_1d,0.0033913641,0.0028568728755791,14.0
daily_return,0.0016805602,0.0052907217317166,11.0
rate_change_1d_bps,0.0005598452,0.0041493939465176,13.0
regime_BEAR,0.0,,
regime_HIGH_VOL,0.0,,
