feature,mean_abs_SHAP
log_moneyness,2.586538540747132
dps_growth_rate,2.2307072903299927
is_call,2.139783369634811
tenor_years,2.0413135063929047
vol_63d,1.4618203558485101
vix_ratio,0.44511087231906993
vol_21d,0.43562000915575355
sentiment_score,0.24399912303148452
vix_jpm_corr_21d,0.19608254013890292
sma_ratio_21,0.13028635228735208
regime_BULL,0.1002411449144853
rate_momentum_5d_bps,0.09107485637018282
regime_BEAR,0.05392322531391541
high_low_spread,0.03011147569178096
jpm_vol_ratio,0.028903206255571176
vol_5d,0.021842700726931872
daily_return,0.01529888414501531
vix_change_1d,0.015030533292454984
volume_change_1d,0.009614635969786692
regime_HIGH_VOL,0.006144844097657831
regime_CALM,0.0058131406327608945
rate_change_1d_bps,0.005069441467093427
vix_jpm_cross_1d,0.00329651921546179
