feature,mean_abs_SHAP_sigma,mean_vega_$,mean_abs_price_impact_$,price_impact_%of_mean_price,is_new_feature
sentiment_score,1.6859995,16.44980906602674,0.31437386006930323,0.5430718083030113,True
vol_63d,0.5071682,16.44980906602674,0.10057415342380503,0.17373895958261168,False
vol_21d,0.35709566,16.44980906602674,0.06288298306577421,0.10862854601680091,False
vix_ratio,0.28002647,16.44980906602674,0.04054529185763644,0.0700408264301807,True
dps_growth_rate,0.15264347,16.44980906602674,0.020458989131224688,0.0353423157418257,False
sma_ratio_21,0.061097305,16.44980906602674,0.014199840025548617,0.024529815546967454,False
vix_change_1d,0.057451196,16.44980906602674,0.010296121217717337,0.0177862534976035,True
vol_5d,0.037919022,16.44980906602674,0.006153867312247731,0.010630628922463305,False
jpm_vol_ratio,0.010827223,16.44980906602674,0.0044407774193862895,0.00767131536599654,False
vix_jpm_corr_21d,0.024326533,16.44980906602674,0.004112131338680572,0.007103588706721478,True
volume_change_1d,0.007983696,16.44980906602674,0.002103646706995136,0.003633989228451361,False
regime_CALM,0.008667882,16.44980906602674,0.0014438359530782813,0.002494185113731367,False
rate_momentum_5d_bps,0.00545007,16.44980906602674,0.0009067042065419576,0.0015663054585204315,False
vix_jpm_cross_1d,0.0033913641,16.44980906602674,0.0007687205534304871,0.0013279426633599736,True
regime_BULL,0.004707369,16.44980906602674,0.0007337614549254213,0.0012675518254016145,False
daily_return,0.0016805602,16.44980906602674,0.00032904502456461426,0.000568415823325835,False
rate_change_1d_bps,0.0005598452,16.44980906602674,0.0001064793992054527,0.000183940101956237,False
regime_BEAR,0.0,16.44980906602674,0.0,0.0,False
regime_HIGH_VOL,0.0,16.44980906602674,0.0,0.0,False
